Year,TakeMethod,Unit,UnitID,Hunters,Harvest,Success,Days,Antlered,Antlerless,%4+Pts,%5+Pts,%Whitetail
2005,Any Weapon,1,1,7062,3283,46.5,47884,2292,992,31.1,29.2,86.3
2005,Archery,1,1,628,118,18.8,4052,71,47,43.8,30.9,91.5
2005,Muzzleloader,1,1,37,7,18.9,129,7,0,42.9,14.3,85.7
2005,All Weapons Combined,1,1,7728,3411,44.1,52065,2424,930,31.5,29.1,86.5
2005,Any Weapon,2,2,3134,1295,41.3,20819,938,358,29.2,27.6,94.9
2005,Archery,2,2,275,35,12.7,1849,20,15,45,20,94.3
2005,Muzzleloader,2,2,9,8,88.9,55,4,4,50,25,87.5
2005,All Weapons Combined,2,2,3418,1339,39.2,22723,985,332,29.6,27.4,94.8
2005,Any Weapon,3,3,3619,1223,33.8,20591,868,354,32.1,28.6,95
2005,Archery,3,3,458,131,28.6,3048,89,41,31.4,54.1,96.9
2005,Muzzleloader,3,3,29,4,13.8,72,3,1,33.3,0,100
2005,All Weapons Combined,3,3,4105,1359,33.1,23711,985,352,32,30.9,95.3
2005,Any Weapon,4,4,3613,662,18.3,21008,425,237,30.3,25.6,71.8
2005,Archery,4,4,690,46,6.7,5128,25,21,28,36,71.8
2005,Muzzleloader,4,4,726,154,21.2,3555,129,25,46.6,30.2,89.6
2005,All Weapons Combined,4,4,5029,863,17.2,29691,586,246,33.8,27,75
2005,Any Weapon,4A,5,645,172,26.6,3518,126,46,24.8,22.3,86
2005,Archery,4A,5,81,6,7.4,550,4,2,50,0,100
2005,Muzzleloader,4A,5,7,2,28.6,33,2,0,50,0,50
2005,All Weapons Combined,4A,5,733,180,24.6,4101,133,35,26,21.3,86.1
2005,Any Weapon,5,6,1972,953,48.3,12235,676,277,34.5,37.5,96.4
2005,Archery,5,6,141,32,22.7,796,15,17,26.7,46.7,100
2005,Muzzleloader,5,6,17,,0,54,,0,0,0,0
2005,All Weapons Combined,5,6,2130,985,46.2,13084,705,271,34.3,37.7,96.5
2005,Any Weapon,6,7,2487,1017,40.9,16382,709,308,32.8,30.2,90
2005,Archery,6,7,225,14,6.2,1730,7,7,14.3,57.1,85.7
