"Year","TakeMethod","Unit","UnitID","Hunters","Harvest","Success","Days","Antlered","Antlerless","%4+Pts","%5+Pts","%Whitetail"
2011,"Any Weapon","1",1,6976,3226,46.2,48700,2131,1095,56.6,23.8,94.9
2011,"Archery","1",1,768,118,15.3,5979,65,53,47.9,31,94.9
2011,"Muzzleloader","1",1,28,14,50.6,111,7,7,57.4,0,64.1
2011,"Any Weapon","2",2,3264,1145,35.1,21866,779,360,53.2,26.3,98.6
2011,"Archery","2",2,406,69,16.9,2544,39,30,47,18,98.5
2011,"Muzzleloader","2",2,8,2,24.4,24,2,,100,50,100
2011,"Any Weapon","3",3,3851,1196,31.1,22488,875,316,58.8,23.3,97.5
2011,"Archery","3",3,616,107,17.3,4074,56,51,53.1,20,100
2011,"Muzzleloader","3",3,53,16,29.4,174,2,14,100,100,93.6
2011,"Any Weapon","4",4,4183,525,12.6,26651,376,149,56.8,24.7,90.5
2011,"Archery","4",4,990,64,6.5,6890,28,37,40.3,7.2,90.4
2011,"Muzzleloader","4",4,822,100,12.2,3836,76,24,73.6,36.7,100
2011,"Any Weapon","4A",5,590,125,21.2,3355,92,33,59.3,23.4,99.2
2011,"Archery","4A",5,112,5,4.5,561,2,3,50,50,100
2011,"Muzzleloader","4A",5,19,,0,86,,,,,
2011,"Any Weapon","5",6,2541,970,38.2,16658,718,252,60.3,23.9,98.8
2011,"Archery","5",6,319,62,19.5,1835,25,38,54.4,21.1,100
2011,"Muzzleloader","5",6,5,5,98.3,19,5,,80.8,80.8,100
2011,"Any Weapon","6",7,2632,1015,38.6,17085,753,262,57.3,25.8,92
2011,"Archery","6",7,271,32,11.8,1885,19,12,84.6,37.1,80.5
2011,"Muzzleloader","6",7,8,1,12.2,54,1,,0,0,100
2011,"Any Weapon","7",8,337,23,6.9,1952,16,7,31.2,6.2,65.5
2011,"Archery","7",8,64,1,1.6,459,1,,100,0,0
2011,"Muzzleloader","7",8,63,2,3.2,251,1,1,0,0,100
2011,"Any Weapon","8",9,2693,1123,41.7,16369,775,348,63.5,22.3,95.1
2011,"Archery","8",9,115,11,9.6,793,9,2,22.2,11.1,100
2011,"Muzzleloader","8",9,9,1,10.7,43,1,,0,0,100
2011,"Any Weapon","8A",10,4291,1652,38.5,28791,1173,479,67.9,30.5,98.3
2011,"Archery","8A",10,210,20,9.3,1795,18,2,71.6,5.7,100
2011,"Muzzleloader","8A",10,173,28,16.1,590,2,26,,,100
2011,"Any Weapon","9",11,60,3,5,296,2,1,50,0,100
2011,"Archery","9",11,20,1,5,139,1,,100,0,0
2011,"Muzzleloader","9",11,6,,0,28,,,,,
2011,"Any Weapon","10",13,576,158,27.4,3630,120,38,57.7,14.4,95.6
2011,"Archery","10",13,20,,0,196,,,,,
2011,"Muzzleloader","10",13,2,2,100,9,,2,,,100
2011,"Any Weapon","10A",14,5448,2511,46.1,38538,1748,763,61.6,22.2,98.5
2011,"Archery","10A",14,293,51,17.3,2419,38,12,67.3,32.7,89.7
